state,year,policy_topic,policy_score,salience,morality
Alabama,2020,Gun Control,0,1,1
Alaska,2020,Gun Control,0,1,1
Arizona,2020,Gun Control,0,1,1
Arkansas,2020,Gun Control,0,1,1
California,2020,Gun Control,1,1,1
Colorado,2020,Gun Control,1,1,1
Connecticut,2020,Gun Control,1,1,1
Delaware,2020,Gun Control,1,1,1
Florida,2020,Gun Control,0,1,1
Georgia,2020,Gun Control,0,1,1
Hawaii,2020,Gun Control,1,1,1
Idaho,2020,Gun Control,0,1,1
Illinois,2020,Gun Control,1,1,1
Indiana,2020,Gun Control,0,1,1
Iowa,2020,Gun Control,0,1,1
Kansas,2020,Gun Control,0,1,1
Kentucky,2020,Gun Control,0,1,1
Louisiana,2020,Gun Control,0,1,1
Maine,2020,Gun Control,0,1,1
Maryland,2020,Gun Control,1,1,1
Massachusetts,2020,Gun Control,1,1,1
Michigan,2020,Gun Control,0,1,1
Minnesota,2020,Gun Control,0,1,1
Mississippi,2020,Gun Control,0,1,1
Missouri,2020,Gun Control,0,1,1
Montana,2020,Gun Control,0,1,1
Nebraska,2020,Gun Control,0,1,1
Nevada,2020,Gun Control,1,1,1
New Hampshire,2020,Gun Control,0,1,1
New Jersey,2020,Gun Control,1,1,1
New Mexico,2020,Gun Control,1,1,1
New York,2020,Gun Control,1,1,1
North Carolina,2020,Gun Control,0,1,1
North Dakota,2020,Gun Control,0,1,1
Ohio,2020,Gun Control,0,1,1
Oklahoma,2020,Gun Control,0,1,1
Oregon,2020,Gun Control,1,1,1
Pennsylvania,2020,Gun Control,1,1,1
Rhode Island,2020,Gun Control,1,1,1
South Carolina,2020,Gun Control,0,1,1
South Dakota,2020,Gun Control,0,1,1
Tennessee,2020,Gun Control,0,1,1
Texas,2020,Gun Control,0,1,1
Utah,2020,Gun Control,0,1,1
Vermont,2020,Gun Control,1,1,1
Virginia,2020,Gun Control,1,1,1
Washington,2020,Gun Control,1,1,1
West Virginia,2020,Gun Control,0,1,1
Wisconsin,2020,Gun Control,0,1,1
Wyoming,2020,Gun Control,0,1,1
