state,year,policy_topic,policy_score,salience,morality
Alabama,2021,Medicaid Expansion,0,0,0
Alaska,2021,Medicaid Expansion,1,0,0
Arizona,2021,Medicaid Expansion,1,0,0
Arkansas,2021,Medicaid Expansion,1,0,0
California,2021,Medicaid Expansion,1,0,0
Colorado,2021,Medicaid Expansion,1,0,0
Connecticut,2021,Medicaid Expansion,1,0,0
Delaware,2021,Medicaid Expansion,1,0,0
Florida,2021,Medicaid Expansion,0,0,0
Georgia,2021,Medicaid Expansion,0,0,0
Hawaii,2021,Medicaid Expansion,1,0,0
Idaho,2021,Medicaid Expansion,1,0,0
Illinois,2021,Medicaid Expansion,1,0,0
Indiana,2021,Medicaid Expansion,1,0,0
Iowa,2021,Medicaid Expansion,1,0,0
Kansas,2021,Medicaid Expansion,0,0,0
Kentucky,2021,Medicaid Expansion,1,0,0
Louisiana,2021,Medicaid Expansion,1,0,0
Maine,2021,Medicaid Expansion,1,0,0
Maryland,2021,Medicaid Expansion,1,0,0
Massachusetts,2021,Medicaid Expansion,1,0,0
Michigan,2021,Medicaid Expansion,1,0,0
Minnesota,2021,Medicaid Expansion,1,0,0
Mississippi,2021,Medicaid Expansion,0,0,0
Missouri,2021,Medicaid Expansion,1,0,0
Montana,2021,Medicaid Expansion,1,0,0
Nebraska,2021,Medicaid Expansion,1,0,0
Nevada,2021,Medicaid Expansion,1,0,0
New Hampshire,2021,Medicaid Expansion,1,0,0
New Jersey,2021,Medicaid Expansion,1,0,0
New Mexico,2021,Medicaid Expansion,1,0,0
New York,2021,Medicaid Expansion,1,0,0
North Carolina,2021,Medicaid Expansion,0,0,0
North Dakota,2021,Medicaid Expansion,1,0,0
Ohio,2021,Medicaid Expansion,1,0,0
Oklahoma,2021,Medicaid Expansion,1,0,0
Oregon,2021,Medicaid Expansion,1,0,0
Pennsylvania,2021,Medicaid Expansion,1,0,0
Rhode Island,2021,Medicaid Expansion,1,0,0
South Carolina,2021,Medicaid Expansion,0,0,0
South Dakota,2021,Medicaid Expansion,0,0,0
Tennessee,2021,Medicaid Expansion,0,0,0
Texas,2021,Medicaid Expansion,0,0,0
Utah,2021,Medicaid Expansion,1,0,0
Vermont,2021,Medicaid Expansion,1,0,0
Virginia,2021,Medicaid Expansion,1,0,0
Washington,2021,Medicaid Expansion,1,0,0
West Virginia,2021,Medicaid Expansion,1,0,0
Wisconsin,2021,Medicaid Expansion,0,0,0
Wyoming,2021,Medicaid Expansion,0,0,0
