state,year,policy_topic,policy_score,salience,morality
Alabama,2020,Paid Family Leave,0,0,0
Alaska,2020,Paid Family Leave,0,0,0
Arizona,2020,Paid Family Leave,0,0,0
Arkansas,2020,Paid Family Leave,0,0,0
California,2020,Paid Family Leave,1,0,0
Colorado,2020,Paid Family Leave,1,0,0
Connecticut,2020,Paid Family Leave,1,0,0
Delaware,2020,Paid Family Leave,0,0,0
Florida,2020,Paid Family Leave,0,0,0
Georgia,2020,Paid Family Leave,0,0,0
Hawaii,2020,Paid Family Leave,0,0,0
Idaho,2020,Paid Family Leave,0,0,0
Illinois,2020,Paid Family Leave,0,0,0
Indiana,2020,Paid Family Leave,0,0,0
Iowa,2020,Paid Family Leave,0,0,0
Kansas,2020,Paid Family Leave,0,0,0
Kentucky,2020,Paid Family Leave,0,0,0
Louisiana,2020,Paid Family Leave,0,0,0
Maine,2020,Paid Family Leave,0,0,0
Maryland,2020,Paid Family Leave,0,0,0
Massachusetts,2020,Paid Family Leave,1,0,0
Michigan,2020,Paid Family Leave,0,0,0
Minnesota,2020,Paid Family Leave,0,0,0
Mississippi,2020,Paid Family Leave,0,0,0
Missouri,2020,Paid Family Leave,0,0,0
Montana,2020,Paid Family Leave,0,0,0
Nebraska,2020,Paid Family Leave,0,0,0
Nevada,2020,Paid Family Leave,0,0,0
New Hampshire,2020,Paid Family Leave,0,0,0
New Jersey,2020,Paid Family Leave,1,0,0
New Mexico,2020,Paid Family Leave,0,0,0
New York,2020,Paid Family Leave,1,0,0
North Carolina,2020,Paid Family Leave,0,0,0
North Dakota,2020,Paid Family Leave,0,0,0
Ohio,2020,Paid Family Leave,0,0,0
Oklahoma,2020,Paid Family Leave,0,0,0
Oregon,2020,Paid Family Leave,1,0,0
Pennsylvania,2020,Paid Family Leave,0,0,0
Rhode Island,2020,Paid Family Leave,1,0,0
South Carolina,2020,Paid Family Leave,0,0,0
South Dakota,2020,Paid Family Leave,0,0,0
Tennessee,2020,Paid Family Leave,0,0,0
Texas,2020,Paid Family Leave,0,0,0
Utah,2020,Paid Family Leave,0,0,0
Vermont,2020,Paid Family Leave,0,0,0
Virginia,2020,Paid Family Leave,0,0,0
Washington,2020,Paid Family Leave,1,0,0
West Virginia,2020,Paid Family Leave,0,0,0
Wisconsin,2020,Paid Family Leave,1,0,0
Wyoming,2020,Paid Family Leave,0,0,0
